Locus tag,in cgMLST ?,Length,EC number,KO number,Gene Name,Function,N_allele,CDS,Pseudogene,missing,% presence,% pseudogenes,,,,
STMMW_08131,accessory_gene,546,4.2.1.2,K01678,fumB,"Fumarate hydratase class I, aerobic/ L(+)-tartrate dehydratase beta subunit",131,1923,61,1160,63%,3%,,,,
STMMW_08141,accessory_gene,846,4.2.1.2,K01677,fumA,L(+)-tartrate dehydratase alpha subunit,162,1953,28,1163,63%,1%,,,,
STMMW_08151,accessory_gene,852,,,,LysR family transcriptional regulator,200,1961,13,1170,63%,1%,,,,
STMMW_08161,accessory_gene,984,,,,LysR family transcriptional regulator,260,1894,79,1171,63%,4%,,,,
STMMW_08171,accessory_gene,1269,,,,cation transporter,345,1894,84,1166,63%,4%,,,,
STMMW_08211,accessory_gene,699,,,,Membrane protein associated with oxaloacetate decarboxylase,291,1940,46,1158,63%,2%,,,,
STMMW_08221,accessory_gene,1080,,K02015,,iron ABC transporter permease,622,3052,19,73,98%,1%,,,,
STMMW_08231,accessory_gene,777,3.6.3.34,K02013,,cobalamin ABC transporter ATPase,487,3024,46,74,98%,1%,,,,
STMMW_08291,accessory_gene,909,,,,Putative inner membrane protein,577,2918,32,194,94%,1%,,,,
STMMW_08301,accessory_gene,1476,,K05776,modF,molybdate ABC transporter ATP-binding protein ModF,685,2855,18,271,91%,1%,,,,
STMMW_08361,accessory_gene,819,,K07024,ybhA,pyridoxal phosphatase,493,2919,2,223,93%,0%,,,,
STMMW_08601,accessory_gene,708,,K06890,ybhM,integral membrane protein,506,2887,61,196,94%,2%,,,,
STMMW_08611,accessory_gene,609,,,,putative inner membrane protein,372,2178,51,915,71%,2%,,,,
STMMW_08901,accessory_gene,744,,,,membrane protein,141,1236,35,1873,40%,3%,,,,
STMMW_08921,accessory_gene,1266,,,ybiU,cytoplasmic protein,677,3054,6,84,97%,0%,,,,
STMMW_08981,accessory_gene,942,3.4.19.5,K13051,ybiK,isoaspartyl peptidase,484,2888,33,223,93%,1%,,,,
STMMW_09051,accessory_gene,516,,,,CoA ester lyase,115,2016,57,1071,66%,3%,,,,
STMMW_09061,accessory_gene,855,,K03521,fixA,"Electron transfer flavoprotein subunit beta, mitochondrial Beta-ETF; Flags: Precursor",137,2036,36,1072,66%,2%,,,,
STMMW_09071,accessory_gene,948,,K03522,fixB,"electron transfer flavoprotein subunit alpha, partial",163,2109,7,1028,67%,0%,,,,
STMMW_09081,accessory_gene,1164,1.3.8.7,K00249,acd,acyl-CoA dehydrogenase,149,2113,2,1029,67%,0%,,,,
STMMW_09091,accessory_gene,1686,1.5.5.1,K00311,,dehydrogenase,280,2091,20,1033,67%,1%,,,,
STMMW_09101,accessory_gene,891,,,,LysR family transcriptional regulator,139,2067,46,1031,67%,2%,,,,
STMMW_09111,accessory_gene,426,,,,D-beta-hydroxybutyrate permease,85,2007,65,1072,66%,3%,,,,
STMMW_09601,accessory_gene,684,,K07497,,integrase,226,1449,7,1688,46%,0%,,,,
STMMW_09602,accessory_gene,159,,,,transposase in ISSen1,60,1569,6,1569,50%,0%,,,,
STMMW_09611,accessory_gene,402,,,,transposase,112,1432,30,1682,47%,2%,,,,
STMMW_09721,accessory_gene,4143,,K03466,ftsK,DNA translocase FtsK,1137,2606,1,537,83%,0%,,,,
STMMW_09771,accessory_gene,618,,K07307,dmsB,Anaerobic dimethyl sulfoxide reductase chain B,400,661,4,2479,21%,1%,,,,
STMMW_09781,accessory_gene,864,,K07308,dmsC,dimethyl sulfoxide reductase subunit C,27,36,1,3107,1%,3%,,,,
STMMW_09801,accessory_gene,1422,,,ycaM,amino acid permease,614,3052,24,68,98%,1%,,,,
STMMW_09901,accessory_gene,762,3.4.24.-,K07387,ycaL,peptidase M48,389,3000,24,120,96%,1%,,,,
STMMW_10121,accessory_gene,462,,K03719,lrp,DNA-binding protein,111,2090,7,1047,67%,0%,,,,
STMMW_10161,accessory_gene,1293,,K14059,int,bacteriophage integrase,147,1279,21,1844,41%,2%,,,,
STMMW_10171,accessory_gene,249,,,,excisionase (DUF1233),32,1264,26,1854,41%,2%,,,,
STMMW_10231,accessory_gene,411,,,,transcriptional regulator,18,492,0,2652,16%,0%,,,,
STMMW_10261,accessory_gene,750,,K10762,ydaV,DNA replication protein DnaC,161,1104,6,2034,35%,1%,,,,
STMMW_10271,accessory_gene,348,,,,"DNA-binding protein, partial",95,1007,8,2129,32%,1%,,,,
STMMW_10291,accessory_gene,291,,,,predicted prophage protein,14,425,1,2718,14%,0%,,,,
STMMW_10331,accessory_gene,147,,,,Gifsy-2 prophage molecular chaperone,44,973,47,2124,32%,5%,,,,
STMMW_10341,accessory_gene,798,,,,Gifsy-2 prophage molecular chaperone,123,979,5,2160,31%,1%,,,,
STMMW_10361,accessory_gene,126,,,,Putative bacteriophage protein,13,821,1,2322,26%,0%,,,,
STMMW_10371,accessory_gene,450,,,,Putative lipoprotein,87,1274,4,1866,41%,0%,,,,
STMMW_10401,accessory_gene,501,3.4.-.-,K14744,rzpD,putative bacteriophage lysozyme,27,559,34,2551,19%,6%,,,,
STMMW_10411,accessory_gene,534,,,,terminase small subunit,47,581,4,2559,19%,1%,,,,
STMMW_10421,accessory_gene,2136,,,,phage terminase large subunit,87,574,12,2558,19%,2%,,,,
STMMW_10422,accessory_gene,207,,,,"primosomal replication protein PriB/PriC domain protein, partial",35,625,0,2519,20%,0%,,,,
STMMW_10431,accessory_gene,1548,,,,"phage portal protein, lambda family, partial",93,605,8,2531,19%,1%,,,,
STMMW_10441,accessory_gene,2055,,,,bacteriophage Clp protease involved in capsid processing,181,723,17,2404,24%,2%,,,,
STMMW_10451,accessory_gene,324,,,,putative RecA/RadA recombinase,67,724,2,2418,23%,0%,,,,
STMMW_10461,accessory_gene,300,,,,ATP-binding protein,29,566,22,2556,19%,4%,,,,
STMMW_10471,accessory_gene,567,,,,prophage minor tail protein Z,29,577,0,2567,18%,0%,,,,
STMMW_10481,accessory_gene,402,,,,phage tail protein U,53,617,0,2527,20%,0%,,,,
STMMW_10501,accessory_gene,399,,,,phage minor tail protein G,38,623,0,2521,20%,0%,,,,
STMMW_10511,accessory_gene,264,,,,bacteriophage tail assembly chapterone - part of G+G' frameshift hybrid protein ; Lambda gpT homolog,21,583,1,2560,19%,0%,,,,
STMMW_10531,accessory_gene,333,,,,Gifsy-2 prophage probable minor tail protein,69,802,0,2342,26%,0%,,,,
STMMW_10561,accessory_gene,696,,,,Gifsy-2 prophage minor tail protein,113,965,7,2172,31%,1%,,,,
STMMW_10581,accessory_gene,543,,,,"bacteriophage lambda tail assembly protein I, partial",63,790,5,2349,25%,1%,,,,
STMMW_10601,accessory_gene,2439,,,,phage tail protein,211,423,10,2711,14%,2%,,,,
STMMW_10661,accessory_gene,627,,,,Uncharacterised ACR%2C COG2135,35,775,5,2364,25%,1%,,,,
STMMW_10681,accessory_gene,687,,,gtgE,bacteriophage encoded virulence factor,97,910,39,2195,30%,4%,,,,
STMMW_10951,accessory_gene,780,,,,AraC family transcriptional regulator,474,2916,17,211,93%,1%,,,,
STMMW_10991,accessory_gene,681,,,pipA,pathogenicity island protein,297,2245,72,827,74%,3%,,,,
STMMW_11001,accessory_gene,876,,,pipB,PipB,473,2854,35,255,92%,1%,,,,
STMMW_11361,accessory_gene,882,,,,"transcriptional regulator, RpiR family",207,2747,2,395,87%,0%,,,,
STMMW_11371,accessory_gene,1497,,K03307,,putative sialic acid transporter,473,2631,114,399,87%,4%,,,,
STMMW_11381,accessory_gene,681,5.1.3.9,K01788,nanE,N-acetylmannosamine-6-phosphate 2-epimerase,295,2629,51,464,85%,2%,,,,
STMMW_11391,accessory_gene,1161,5.1.3.24,K17948,nanM,N-acetylneuraminic acid mutarotase,458,2656,63,425,86%,2%,,,,
STMMW_11401,accessory_gene,693,,,,N-acetylneuraminic acid OM channel NanC,260,2737,5,402,87%,0%,,,,
STMMW_11411,accessory_gene,1281,,,,Sialic acid transporter NanT,400,2711,34,399,87%,1%,,,,
STMMW_11421,accessory_gene,1107,,,,putative oxidoreductase,367,2732,11,401,87%,0%,,,,
STMMW_11701,accessory_gene,246,,K12149,dinI,DNA damage-inducible protein I,331,2667,23,454,86%,1%,,,,
STMMW_11951,accessory_gene,960,5.4.99.24,K06179,rluC,ribosomal large subunit pseudouridine synthase C,300,2060,0,1084,66%,0%,,,,
STMMW_11961,accessory_gene,744,,,,putative inner membrane lipoprotein,268,1976,60,1108,65%,3%,,,,
STMMW_11971,accessory_gene,225,,,,hypothetical protein,99,2015,45,1084,66%,2%,,,,
STMMW_12241,accessory_gene,966,,K19236,ycfS,transpeptidase,542,2993,3,148,95%,0%,,,,
STMMW_12331,accessory_gene,1011,,K15347,sifA,"secreted effector protein SifA, partial",600,2998,61,85,97%,2%,,,,
STMMW_12341,accessory_gene,864,,K11071,potB,spermidine/putrescine ABC transporter permease PotB,387,3063,0,81,97%,0%,,,,
STMMW_12361,accessory_gene,1230,3.4.11.4,K01258,pepT,peptidase T,529,2918,20,206,93%,1%,,,,
STMMW_12461,accessory_gene,330,,,,lipoprotein lprI Flags: Precursor,223,3029,22,93,97%,1%,,,,
STMMW_12471,accessory_gene,666,5.4.99.20,K06181,rluB,Ribosomal large subunit pseudouridine synthase E,340,3046,2,96,97%,0%,,,,
STMMW_12491,accessory_gene,1125,,,,bacteriophage protein,583,2761,162,221,93%,6%,,,,
STMMW_12941,accessory_gene,858,,,,putative aldehyde reductase,550,3034,38,72,98%,1%,,,,
STMMW_13391,accessory_gene,1224,,,rfc,O-antigen polymerase,119,1202,2,1940,38%,0%,,,,
STMMW_13571,accessory_gene,1641,6.2.1.-,K12507,ydiD,short chain acyl-CoA synthetase,523,2427,68,649,79%,3%,,,,
STMMW_13591,accessory_gene,1287,1.5.5.-,K00313,ydiS,oxidoreductase FixC,502,2526,34,584,81%,1%,,,,
STMMW_13611,accessory_gene,765,,,ydiQ,electron transfer flavoprotein subunit beta,360,2545,15,584,81%,1%,,,,
STMMW_13621,accessory_gene,891,,,ydiP,AraC family transcriptional regulator,365,2512,28,604,81%,1%,,,,
STMMW_13631,accessory_gene,1152,,,ydiO,acyl-CoA dehydrogenase,416,2551,8,585,81%,0%,,,,
STMMW_13641,accessory_gene,1554,2.8.3.8,K19709,ydiF,putative acetyl CoA transferase,546,2523,30,591,81%,1%,,,,
STMMW_13661,accessory_gene,867,1.1.1.282,K05887,aroE,shikimate dehydrogenase,252,2554,3,587,81%,0%,,,,
STMMW_13671,accessory_gene,1236,,,ydiN,MFS family transporter,437,2498,58,588,81%,2%,,,,
STMMW_13691,accessory_gene,360,,,ydiL,putative cytoplasmic protein,173,2542,18,584,81%,1%,,,,
STMMW_13822,accessory_gene,237,,K06078,lpp,murein lipoprotein,25,872,0,2272,28%,0%,,,,
STMMW_13841,accessory_gene,1344,,,orf48,amino acid permease,634,2985,35,124,96%,1%,,,,
STMMW_13851,accessory_gene,894,3.4.11.5,K01259,orf32,hydrolase or acyltransferase,496,2892,23,229,93%,1%,,,,
STMMW_13861,accessory_gene,738,,,orf245,Putative cytoplasmic protein,459,2939,80,125,96%,3%,,,,
STMMW_13871,accessory_gene,1227,,,orf408,ribokinase,656,2905,112,127,96%,4%,,,,
STMMW_14531,accessory_gene,861,2.7.1.35,K00868,pdxY,pyridoxamine kinase,438,3018,23,103,97%,1%,,,,
STMMW_14601,accessory_gene,2208,,K03615,rnfC,electron transport complex subunit RsxC,1008,2827,9,308,90%,0%,,,,
STMMW_14731,accessory_gene,1707,,K07047,,amidohydrolase,864,2927,141,76,98%,5%,,,,
STMMW_15011,accessory_gene,720,,,ynfC,putative inner membrane lipoprotein,464,3040,21,83,97%,1%,,,,
STMMW_15061,accessory_gene,1020,1.1.1.380,K08322,rspB,Zn-dependent oxidoreductase,596,2947,35,162,95%,1%,,,,
STMMW_15141,accessory_gene,528,,,ydeJ,competence protein ComA,346,3046,6,92,97%,0%,,,,
STMMW_15171,accessory_gene,903,,K15268,ydeD,Permease of the drug/metabolite transporter DMT,612,2982,79,83,97%,3%,,,,
STMMW_15181,accessory_gene,216,,K13630,marB,multiple antibiotic resistance protein MarB,165,3035,5,104,97%,0%,,,,
STMMW_15271,accessory_gene,948,,K08994,yneE,inner membrane protein,571,2881,158,105,97%,5%,,,,
STMMW_15281,accessory_gene,543,,,,outer membrane protein,400,3020,24,100,97%,1%,,,,
STMMW_15291,accessory_gene,1017,,,,porin,492,2851,7,286,91%,0%,,,,
STMMW_15301,accessory_gene,342,,K04651,hypA,hydrogenase,208,3018,3,123,96%,0%,,,,
STMMW_15311,accessory_gene,888,,,,dehydrogenase,579,3012,8,124,96%,0%,,,,
STMMW_15391,accessory_gene,1092,,,,choloylglycine hydrolase,609,2920,67,157,95%,2%,,,,
STMMW_15401,accessory_gene,672,,,,hexuronate utilization operon transcriptional regulator ExuR,367,3007,0,137,96%,0%,,,,
STMMW_15411,accessory_gene,1026,,,,zinc-type alcohol dehydrogenase,531,2987,4,153,95%,0%,,,,
STMMW_15421,accessory_gene,1287,,,,hexuronate transporter,597,2824,141,179,94%,5%,,,,
STMMW_15431,accessory_gene,1557,,,pqaA,phoPQ-activated pathogenicity-related protein,787,2867,117,160,95%,4%,,,,
STMMW_15441,accessory_gene,1242,,,,putative multidrug efflux protein,669,2837,51,256,92%,2%,,,,
STMMW_15451,accessory_gene,1506,,,,monooxygenase,729,2620,128,396,87%,5%,,,,
STMMW_15461,accessory_gene,489,,,,MarR family transcriptional regulator,297,2822,2,320,90%,0%,,,,
STMMW_15491,accessory_gene,1467,,,srgE,putative coiled-coil protein,438,1600,90,1454,54%,5%,,,,
STMMW_15501,accessory_gene,1008,,K02529,lacI,LacI family transcriptional regulator,504,2763,36,345,89%,1%,,,,
STMMW_15511,accessory_gene,1452,,K03315,nhaC,Na+/H+ antiporter NhaC,663,2845,47,252,92%,2%,,,,
STMMW_15521,accessory_gene,1203,4.4.1.8,K14155,patB,aminotransferase class I/II,600,2949,3,192,94%,0%,,,,
STMMW_15631,accessory_gene,642,,K08350,fdnI,"formate dehydrogenase, nitrate-inducible, cytochrome b556(fdn) subunit (formate dehydrogenase-n gamma subunit) (fdh-n gamma subunit) (anaerobic formate dehydrogenase cytochrome b556 subunit)",344,3039,2,103,97%,0%,,,,
STMMW_15661,accessory_gene,825,,,yddG,Multidrug resistance efflux transporter EmrE,549,3018,11,115,96%,0%,,,,
STMMW_15671,accessory_gene,1089,,K16076,ompD,porin,492,3011,13,120,96%,0%,,,,
STMMW_15741,accessory_gene,696,,K00373,narW,nitrate reductase molybdenum cofactor assembly chaperone NarJ,557,2938,55,151,95%,2%,,,,
STMMW_15761,accessory_gene,894,,,yddE,Phenazine biosynthesis protein PhzF,518,2874,77,193,94%,3%,,,,
STMMW_15891,accessory_gene,2982,,,srfB,virulence factor SrfB,934,3028,12,104,97%,0%,,,,
STMMW_15961,accessory_gene,399,,,ugtL,D-alanyl-D-alanine dipeptidase,318,2920,128,96,97%,4%,,,,
STMMW_16001,accessory_gene,537,,,ydcN,"Transcriptional regulator yidN, Cro/CI family",400,3057,1,86,97%,0%,,,,
STMMW_16011,accessory_gene,1179,,K05782,benE,benzoate membrane transporter,661,2967,80,97,97%,3%,,,,
STMMW_16071,accessory_gene,1119,,,,glutamyl aminopeptidase,619,3032,12,100,97%,0%,,,,
STMMW_16081,accessory_gene,282,2.7.1.200,K02774,gatB,PTS sugar transporter subunit IIB,99,3050,0,94,97%,0%,,,,
STMMW_16091,accessory_gene,1173,,K02775,gatC,PTS galactitol transporter subunit IIC,585,3042,7,95,97%,0%,,,,
STMMW_16101,accessory_gene,807,,K06971,,putative nucleoside triphosphatase,468,3043,4,97,97%,0%,,,,
STMMW_16111,accessory_gene,438,2.7.1.200,K02773,gatA,"phosphoenolpyruvate-dependent sugar phosphotransferase system, EIIA 2",293,3031,2,111,96%,0%,,,,
STMMW_16121,accessory_gene,633,5.1.3.-,K14587,sgcE,ribulose-phosphate 3-epimerase,510,3038,9,97,97%,0%,,,,
STMMW_16141,accessory_gene,438,2.3.1.82,K18816,aac,Aminoglycoside N(6')-acetyltransferase type 1,435,2970,108,66,98%,4%,,,,
STMMW_16151,accessory_gene,1203,,,,Alpha-hydroxy acid dehydrogenase,572,2458,138,548,83%,5%,,,,
STMMW_16191,accessory_gene,1344,,,,DUF1338 domain-containing protein,661,3002,11,131,96%,0%,,,,
STMMW_16201,accessory_gene,924,,,ydcI,"putative transcriptional regulators, LysR family",454,3010,2,132,96%,0%,,,,
STMMW_16211,accessory_gene,1626,,K05876,trg,"methyl-accepting chemotaxis protein III, partial",758,2972,26,146,95%,1%,,,,
STMMW_16221,accessory_gene,1119,,K00121,adhC,S-(hydroxymethyl)glutathione dehydrogenase/class III alcohol dehydrogenase,577,3000,5,139,96%,0%,,,,
STMMW_16231,accessory_gene,276,,,,putative transcriptional repressor FrmR,173,3004,0,140,96%,0%,,,,
STMMW_16241,accessory_gene,402,,,steB,putative dipicolinate reductase,334,2823,40,281,91%,1%,,,,
STMMW_16251,accessory_gene,717,,,,membrane protein,476,2799,162,183,94%,5%,,,,
STMMW_16261,accessory_gene,1227,,K15349,sseJ,pathogenicity island 2 effector protein SseJ,626,2938,43,163,95%,1%,,,,
STMMW_16271,accessory_gene,345,,,,cyanate transport,228,3004,10,130,96%,0%,,,,
STMMW_16281,accessory_gene,762,,K02030,,periplasmic amino acid-binding protein,455,2921,61,162,95%,2%,,,,
STMMW_16291,accessory_gene,648,,K02029,,ABC amino acid transporter permease,399,2961,17,166,95%,1%,,,,
STMMW_16301,accessory_gene,732,3.6.3.21,K02028,,ABC transporter ATP-binding subunit,431,2964,21,159,95%,1%,,,,
STMMW_16311,accessory_gene,681,,K02029,,polar amino acid ABC transporter inner membrane subunit,411,2987,11,146,95%,0%,,,,
STMMW_16381,accessory_gene,450,,,,"glutathione-dependent formaldehyde-activating, GFA",289,3009,13,122,96%,0%,,,,
STMMW_16621,accessory_gene,558,,,,putative thiol peroxidase,394,2732,100,312,90%,4%,,,,
STMMW_16631,accessory_gene,831,,,,putative outer membrane or exported,303,1798,6,1340,57%,0%,,,,
STMMW_16641,accessory_gene,1983,,,,two-partner secretion translocator ZirT,823,2940,86,118,96%,3%,,,,
STMMW_16651,accessory_gene,846,,,,lipoprotein,541,2973,51,120,96%,2%,,,,
STMMW_16671,accessory_gene,1110,,,,hypothetical protein,572,2781,77,286,91%,3%,,,,
STMMW_16681,accessory_gene,255,,,,putative outer membrane lipoprotein,168,2964,55,125,96%,2%,,,,
STMMW_16691,accessory_gene,591,,K19335,bdcR,Putative HTH-type transcriptional regulator YjgJ,371,2966,8,170,95%,0%,,,,
STMMW_16701,accessory_gene,714,,K19336,bdcA,oxidoreductase,476,2931,43,170,95%,1%,,,,
STMMW_16711,accessory_gene,870,,,,"2,5-diketo-D-gluconic acid reductase A",496,2972,58,114,96%,2%,,,,
STMMW_16721,accessory_gene,906,,,,LysR family transcriptional regulator,565,2948,19,177,94%,1%,,,,
STMMW_16731,accessory_gene,930,,,,transcriptional regulator NmrA,563,2885,100,159,95%,3%,,,,
STMMW_16811,accessory_gene,315,,K03972,pspE,thiosulfate sulfurtransferase PspE,160,2803,121,220,93%,4%,,,,
STMMW_17441,accessory_gene,2679,,K04072,adh,bifunctional acetaldehyde-CoA/alcohol dehydrogenase,639,2599,1,544,83%,0%,,,,
STMMW_17521,accessory_gene,1476,,K07126,,putative secreted protein,432,1989,79,1076,66%,4%,,,,
STMMW_17771,accessory_gene,1266,,,,cytoplasmic protein,628,2548,121,475,85%,5%,,,,
STMMW_18451,accessory_gene,396,,,,cytoplasmic protein,264,2948,69,127,96%,2%,,,,
STMMW_18471,accessory_gene,477,,,,putative membrane protein,421,2936,63,145,95%,2%,,,,
STMMW_18481,accessory_gene,420,,,,putative acetyltransferase,241,2780,4,360,89%,0%,,,,
STMMW_18511,accessory_gene,276,,K13793,ospE,secretion protein EspO,188,2604,57,483,85%,2%,,,,
STMMW_18801,accessory_gene,600,,,yebB,hypothetical protein,381,2557,99,488,84%,4%,,,,
STMMW_18861,accessory_gene,819,,,yecE,hypothetical protein,485,2869,16,259,92%,1%,,,,
STMMW_18931,accessory_gene,1872,,K05515,mrdA,penicillin-binding protein 2,775,2913,164,67,98%,5%,,,,
STMMW_19151,accessory_gene,639,,,,uronate ketol-isomerase,327,2867,23,254,92%,1%,,,,
STMMW_19761,accessory_gene,1269,,K03502,umuC,DNA polymerase V subunit UmuC,542,2492,11,641,80%,0%,,,,
STMMW_19781,accessory_gene,420,3.4.21.-,K03503,umuD,DNA polymerase V subunit UmuD,239,2570,51,523,83%,2%,,,,
STMMW_19841,accessory_gene,1563,,,,putative phage tail fibre protein,56,283,14,2847,9%,5%,,,,
STMMW_19851,accessory_gene,588,,,,phage tail protein,179,696,0,2448,22%,0%,,,,
STMMW_19861,accessory_gene,522,,,,"phage baseplate protein, partial",184,745,6,2393,24%,1%,,,,
STMMW_19881,accessory_gene,414,,,,phage GP46 family protein,121,770,3,2371,25%,0%,,,,
STMMW_19891,accessory_gene,534,,,,baseplate assembly protein,137,757,5,2382,24%,1%,,,,
STMMW_19901,accessory_gene,1059,,,,phage tail protein,210,726,23,2395,24%,3%,,,,
STMMW_19911,accessory_gene,1341,,,,DNA circularization protein,222,724,7,2413,23%,1%,,,,
STMMW_19921,accessory_gene,1929,,,,transglycosylase,187,570,16,2558,19%,3%,,,,
STMMW_19932,accessory_gene,327,,,,Sb15,71,765,2,2377,24%,0%,,,,
STMMW_19941,accessory_gene,357,,,,phage tail protein,90,779,1,2364,25%,0%,,,,
STMMW_19951,accessory_gene,1497,,,,phage tail length tape measure protein,249,764,5,2375,24%,1%,,,,
STMMW_19952,accessory_gene,165,,,,phage protein,49,744,44,2356,25%,6%,,,,
STMMW_19971,accessory_gene,462,,,,predicted bacteriophage protein,134,751,42,2351,25%,5%,,,,
STMMW_19981,accessory_gene,405,,,,phage head-tail joining family protein,62,584,0,2560,19%,0%,,,,
STMMW_19991,accessory_gene,324,,,,phage gp6-like head-tail connector family protein,37,440,3,2701,14%,1%,,,,
STMMW_19992,accessory_gene,201,,,,phage protein,29,411,25,2708,14%,6%,,,,
STMMW_20011,accessory_gene,651,,K06904,,primosome assembly protein PriA,70,418,22,2704,14%,5%,,,,
STMMW_20021,accessory_gene,1116,,,,phage portal protein,96,438,11,2695,14%,2%,,,,
STMMW_20022,accessory_gene,183,,,,phage protein,25,450,0,2694,14%,0%,,,,
STMMW_20031,accessory_gene,1734,,,,phage terminase,92,439,5,2700,14%,1%,,,,
STMMW_20051,accessory_gene,351,3.1.21.-,K07451,mcrA,HNH endonuclease,119,674,4,2466,22%,1%,,,,
STMMW_20061,accessory_gene,303,,,,phage protein,18,232,0,2912,7%,0%,,,,
STMMW_20101,accessory_gene,615,,K03791,,phage encoded lysozyme,357,960,53,2131,32%,5%,,,,
STMMW_20131,accessory_gene,360,,,,sb50,8,142,0,3002,5%,0%,,,,
STMMW_20141,accessory_gene,624,,,,Sb49,12,145,0,2999,5%,0%,,,,
STMMW_20171,accessory_gene,861,,,,predicted bacteriophage protein,260,703,6,2435,23%,1%,,,,
STMMW_20181,accessory_gene,390,3.1.22.4,K01160,rusA,crossover junction endodeoxyribonuclease,225,858,27,2259,28%,3%,,,,
STMMW_20201,accessory_gene,483,,,,putative transcriptional activator,141,675,5,2464,22%,1%,,,,
STMMW_20211,accessory_gene,819,,,,"DNA-binding protein, partial",38,266,0,2878,8%,0%,,,,
STMMW_20212,accessory_gene,225,,,,predicted phage protein,76,735,5,2404,24%,1%,,,,
STMMW_20221,accessory_gene,1158,,,,peptidase,185,617,1,2526,20%,0%,,,,
STMMW_20231,accessory_gene,711,,,,predicted bacteriophage protein,122,702,2,2440,22%,0%,,,,
STMMW_20241,accessory_gene,696,,,,transcriptional regulator,119,744,1,2399,24%,0%,,,,
STMMW_20261,accessory_gene,828,,,,bacteriophage protein,231,701,2,2441,22%,0%,,,,
STMMW_20271,accessory_gene,540,,K06952,,QacE family quaternary ammonium compound efflux SMR transporter,157,727,46,2371,25%,6%,,,,
STMMW_20281,accessory_gene,231,,,,Sb34,40,251,2,2891,8%,1%,,,,
STMMW_20291,accessory_gene,516,,,,"phage protein, partial",36,248,1,2895,8%,0%,,,,
STMMW_20301,accessory_gene,618,,,,predicted phage protein,13,149,0,2995,5%,0%,,,,
STMMW_20311,accessory_gene,834,,,,valyl-tRNA synthetase,11,171,2,2971,6%,1%,,,,
STMMW_20331,accessory_gene,243,,,,predicted phage protein,12,404,9,2731,13%,2%,,,,
STMMW_20341,accessory_gene,990,,,,integrase,31,404,9,2731,13%,2%,,,,
STMMW_20381,accessory_gene,1938,,K07126,,"tetratricopeptide repeat protein, partial",393,1856,16,1272,60%,1%,,,,
STMMW_20391,accessory_gene,1731,,,,Putative periplasmic protein,390,1832,39,1273,60%,2%,,,,
STMMW_20431,accessory_gene,327,,,,acyl carrier protein,67,2039,35,1070,66%,2%,,,,
STMMW_20461,accessory_gene,930,,K16291,erfK,L2CD-transpeptidase ErfK,555,3055,15,74,98%,0%,,,,
STMMW_20471,accessory_gene,1071,2.4.2.21,K00768,cobT,nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase,564,2955,114,75,98%,4%,,,,
STMMW_20481,accessory_gene,744,2.7.8.26,K02233,cobS,adenosylcobinamide-GDP ribazoletransferase,490,3069,0,75,98%,0%,,,,
STMMW_20491,accessory_gene,546,,K02231,cobU,adenosylcobinamide kinase/adenosylcobinamide phosphate guanyltransferase,348,3067,0,77,98%,0%,,,,
STMMW_20511,accessory_gene,816,,K02006,cbiO,cobalt transporter ATP-binding subunit,484,3055,12,77,98%,0%,,,,
STMMW_20521,accessory_gene,678,,K02008,cbiQ,Transmembrane component CbiQ of energizing module of cobalt ECF transporter,477,3060,7,77,98%,0%,,,,
STMMW_20531,accessory_gene,282,,K02009,cbiN,cobalt transporter CbiN,154,3065,2,77,98%,0%,,,,
STMMW_20541,accessory_gene,753,,K02007,cbiM,cobalt transporter CbiM,424,2950,111,83,97%,4%,,,,
STMMW_20551,accessory_gene,714,,K03394,cbiL,S-adenosyl-methionine: precorrin-2 methyltransferase,478,3034,29,81,97%,1%,,,,
STMMW_20561,accessory_gene,795,4.99.1.3,K02190,cbiK,Sirohydrochlorin cobaltochelatase CbiK,412,2953,107,84,97%,3%,,,,
STMMW_20571,accessory_gene,792,,K05895,cbiJ,cobalt-precorrin-6A/precorrin-6x reductase,515,2959,105,80,97%,3%,,,,
STMMW_20581,accessory_gene,726,2.1.1.131,K05934,cbiH,cobalt-factor III C(17)-methyltransferase,518,3053,2,89,97%,0%,,,,
STMMW_20591,accessory_gene,1056,3.7.1.12,K02189,cbiG,cobalt-precorrin 5A hydrolase,578,3059,2,83,97%,0%,,,,
STMMW_20601,accessory_gene,774,,K05936,cbiF,cobalt-precorrin-4 C(11)-methyltransferase,489,3061,3,80,97%,0%,,,,
STMMW_20611,accessory_gene,579,2.1.1.196,K02191,cbiT,cobalt-precorrin-6B (C(15))-methyltransferase (decarboxylating),394,2913,150,81,97%,5%,,,,
STMMW_20621,accessory_gene,606,2.1.1.289,K03399,cbiE,"precorrin-6y C5,15-methyltransferase (decarboxylating), CbiE subunit",439,3051,13,80,97%,0%,,,,
STMMW_20631,accessory_gene,1140,2.1.1.195,K02188,cbiD,cobalt-precorrin-5B (C(1))-methyltransferase,615,3052,12,80,97%,0%,,,,
STMMW_20641,accessory_gene,633,,K06042,cbiC,cobalt-precorrin-8 methylmutase,385,3055,10,79,97%,0%,,,,
STMMW_20651,accessory_gene,960,6.3.1.10,K02227,cbiB,adenosylcobinamide-phosphate synthase,535,3055,7,82,97%,0%,,,,
